Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.03650438129083E-17,-1.61176583042564E-21,-3.07775466843409E-19,0,0,0,0.0503926990816987,1.113174372927E-05,-5.2773480857275E-22,-1.05982515983357E-21,5.28628001043509E-05,-3.30920467085792E-40,4.25656168930446E-05,0,0,0,0,0,0,package://sw2urdfTest260606Car/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://sw2urdfTest260606Car/meshes/base_link.STL,,车身-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
BRWHEEL,0.005,0,0,0,0,0,0.0070686,7.9522E-07,-4.8981E-24,3.064E-23,4.5651E-07,2.647E-23,4.5651E-07,0,0,0,0,0,0,package://sw2urdfTest260606Car/meshes/BRWHEEL.STL,1,1,1,1,0,0,0,0,0,0,package://sw2urdfTest260606Car/meshes/BRWHEEL.STL,,轮子-1,Origin_BRJ,Axis_BRJ,BRJ,revolute,-0.035,-0.03,0,-1.9618,0,-1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
BLWHEEL,0.005,1.73472347597681E-18,6.93889390390723E-18,0,0,0,0.00706858347057703,7.95215640439917E-07,-1.0910133145124E-24,1.61539049475061E-25,4.56512682474767E-07,-1.32348898008484E-23,4.56512682474767E-07,0,0,0,0,0,0,package://sw2urdfTest260606Car/meshes/BLWHEEL.STL,1,1,1,1,0,0,0,0,0,0,package://sw2urdfTest260606Car/meshes/BLWHEEL.STL,,轮子-3,Origin_BLJ,Axis_BLJ,BLJ,revolute,-0.035,0.03,0,1.7178,0,1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
FRWHEEL,0.005,0,0,0,0,0,0.00706858347057703,7.95215640439916E-07,1.29129150775348E-23,1.83956129535077E-23,4.56512682474767E-07,3.97046694025453E-23,4.56512682474767E-07,0,0,0,0,0,0,package://sw2urdfTest260606Car/meshes/FRWHEEL.STL,1,1,1,1,0,0,0,0,0,0,package://sw2urdfTest260606Car/meshes/FRWHEEL.STL,,轮子-2,Origin_FRJ,Axis_FRJ,FRJ,revolute,0.035,-0.03,0,-2.0886,0,-1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
FLWHEEL,-0.005,0,0,0,0,0,0.00706858347057703,7.95215640439916E-07,-4.61931754064618E-24,4.31118156006129E-23,4.56512682474767E-07,-3.15779106970461E-40,4.56512682474767E-07,0,0,0,0,0,0,package://sw2urdfTest260606Car/meshes/FLWHEEL.STL,1,1,1,1,0,0,0,0,0,0,package://sw2urdfTest260606Car/meshes/FLWHEEL.STL,,轮子-4,Origin_FLJ,Axis_FLJ,FLJ,revolute,0.035,0.03,0,-2.0859,0,-1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
